iter	Passed	Remaining
769	26789	8002
770	26837	7971
771	26888	7941
772	26941	7911
773	26995	7882
774	27045	7851
775	27097	7822
776	27148	7791
777	27206	7763
778	27257	7732
779	27321	7706
780	27376	7676
781	27432	7647
782	27481	7616
783	27526	7583
784	27575	7552
785	27631	7523
786	27685	7493
787	27743	7463
788	27806	7436
789	27857	7405
790	27922	7377
791	27976	7347
792	28032	7317
793	28084	7286
794	28147	7258
795	28204	7228
796	28251	7195
797	28303	7164
798	28354	7132
799	28398	7099
800	28444	7066
801	28503	7036
802	28550	7004
803	28599	6971
804	28652	6940
805	28699	6907
806	28751	6876
807	28814	6846
808	28862	6814
809	28925	6784
810	28978	6753
811	29043	6724
812	29092	6691
813	29151	6661
814	29207	6629
815	29265	6599
816	29324	6568
817	29375	6535
818	29431	6504
819	29483	6471
820	29544	6441
821	29608	6411
822	29659	6378
823	29710	6345
824	29766	6314
825	29825	6282
826	29890	6252
827	29945	6220
828	29998	6187
829	30054	6155
830	30106	6122
831	30157	6089
832	30207	6056
833	30258	6022
834	30314	5990
835	30366	5957
836	30419	5923
837	30479	5892
838	30532	5859
839	30579	5824
840	30633	5791
841	30686	5758
842	30740	5725
843	30793	5691
844	30843	5657
845	30905	5625
846	30968	5594
847	31031	5562
848	31106	5532
849	31172	5501
850	31244	5470
851	31312	5439
852	31387	5409
853	31453	5377
854	31518	5345
855	31585	5313
856	31653	5281
857	31731	5251
858	31796	5219
859	31863	5187
860	31929	5154
861	31994	5122
862	32063	5090
863	32127	5057
864	32192	5024
865	32258	4991
866	32324	4958
867	32390	4925
868	32445	4891
869	32498	4856
870	32548	4820
871	32600	4785
872	32652	4750
873	32709	4715
874	32768	4681
875	32826	4646
876	32892	4613
877	32980	4582
878	33064	4551
879	33141	4519
880	33223	4487
881	33292	4454
882	33358	4420
883	33415	4384
884	33461	4348
885	33511	4311
886	33559	4275
887	33608	4238
888	33661	4202
889	33714	4166
890	33771	4131
891	33825	4095
892	33870	4058
893	33913	4021
894	33948	3982
895	33980	3944
896	34011	3905
897	34043	3866
898	34079	3828
899	34112	3790
900	34144	3751
901	34175	3713
902	34206	3674
903	34237	3635
904	34279	3598
905	34363	3565
906	34418	3529
907	34485	3494
908	34535	3457
909	34575	3419
910	34619	3382
911	34652	3343
912	34684	3305
913	34735	3268
914	34767	3229
915	34797	3191
916	34830	3152
917	34876	3115
918	34932	3078
919	34991	3042
920	35040	3005
921	35096	2969
922	35148	2932
923	35201	2895
924	35255	2858
925	35305	2821
926	35348	2783
927	35400	2746
928	35452	2709
929	35508	2672
930	35563	2635
931	35615	2598
932	35671	2561
933	35726	2524
934	35779	2487
935	35831	2450
936	35886	2412
937	35940	2375
938	35992	2338
939	36045	2300
940	36103	2263
941	36159	2226
942	36224	2189
943	36275	2151
944	36331	2114
945	36395	2077
946	36474	2041
947	36519	2003
948	36565	1965
949	36609	1926
950	36656	1888
951	36710	1850
952	36764	1813
953	36810	1774
954	36865	1737
955	36910	1698
956	36946	1660
957	36978	1621
958	37011	1582
959	37043	1543
960	37091	1505
961	37123	1466
962	37154	1427
963	37200	1389
964	37232	1350
965	37277	1312
966	37307	1273
967	37339	1234
968	37370	1195
969	37402	1156
970	37435	1118
971	37466	1079
972	37501	1040
973	37533	1001
974	37563	963
975	37600	924
976	37632	885
977	37665	847
978	37696	808
979	37727	769
980	37760	731
981	37793	692
982	37827	654
983	37879	615
984	37929	577
985	37977	539
986	38013	500
987	38069	462
988	38106	423
989	38138	385
990	38170	346
991	38204	308
992	38240	269
993	38276	231
994	38312	192
995	38343	153
996	38375	115
997	38407	76
998	38438	38
999	38471	0
