iter	RMSE
0	0.4647855578
1	0.445334817
2	0.4261451099
3	0.4080172116
4	0.389876299
5	0.3735822403
6	0.3586213211
7	0.3436178535
8	0.3287981965
9	0.3160725874
10	0.303311652
11	0.2914405551
12	0.2806674179
13	0.2688396486
14	0.2584050191
15	0.2486180589
16	0.2392592676
17	0.230202719
18	0.2217955813
19	0.2130468962
20	0.2049299632
21	0.1972909361
22	0.1895690165
23	0.1827058087
24	0.1761378047
25	0.1704724535
26	0.1650390121
27	0.1592161079
28	0.1542822418
29	0.1488051495
30	0.1440924477
31	0.1390939322
32	0.1341839645
33	0.1293722522
34	0.1249822156
35	0.1211124264
36	0.1183688612
37	0.1147199939
38	0.1123429997
39	0.1089931877
40	0.1061500684
41	0.1031339528
42	0.1002899348
43	0.09764938747
44	0.09527314747
45	0.09283991074
46	0.0905813341
47	0.0888145013
48	0.08715205446
49	0.08527097147
50	0.08353232159
51	0.08192730233
52	0.08038014327
53	0.07931039915
54	0.07800119648
55	0.07669597798
56	0.07562046189
57	0.07440407717
58	0.0733576477
59	0.07266585358
60	0.07181228649
61	0.07127558946
62	0.07038559874
63	0.0696616594
64	0.06891865678
65	0.06827896274
66	0.06774673687
67	0.06717471405
68	0.06654472772
69	0.06615223971
70	0.06561411143
71	0.06504812738
72	0.06479121362
73	0.06442236272
74	0.06400928428
75	0.06372310656
76	0.06335513365
77	0.06304970718
78	0.0628248142
79	0.06260448014
80	0.06232321378
81	0.06205137346
82	0.06175012476
83	0.06152833746
84	0.06135344513
85	0.06113475942
86	0.06103967985
87	0.06094688869
88	0.0606786293
89	0.06046545548
90	0.06025563989
91	0.06001865508
92	0.05986438363
93	0.05965336725
94	0.05955648182
95	0.059449242
96	0.05930746662
97	0.05919778606
98	0.05904361375
99	0.0589177291
100	0.05880336593
101	0.05871959691
102	0.05862260063
103	0.0584693803
104	0.05836291626
105	0.05822723065
106	0.0581525966
107	0.0580905089
108	0.05805301972
109	0.05794824663
110	0.05782477254
111	0.05768060258
112	0.05760918525
113	0.05755176935
114	0.05750327961
115	0.05740077012
116	0.05731283786
117	0.05722230419
118	0.05710117449
119	0.05707759262
120	0.05698554628
121	0.05691946149
122	0.05677775952
123	0.05668536162
